"DATE","state","land_rig_count"
2015-05-15,"Alabama",3
2015-05-22,"Alabama",2
2015-05-29,"Alabama",2
2015-06-05,"Alabama",1
2015-06-12,"Alabama",0
2015-06-19,"Alabama",0
2015-06-26,"Alabama",0
2015-07-02,"Alabama",0
2015-07-10,"Alabama",0
2015-07-17,"Alabama",0
2015-07-24,"Alabama",1
2015-07-31,"Alabama",2
2015-08-07,"Alabama",2
2015-08-14,"Alabama",1
2015-08-21,"Alabama",2
2015-08-28,"Alabama",2
2015-09-04,"Alabama",2
2015-09-11,"Alabama",3
2015-09-18,"Alabama",3
2015-09-25,"Alabama",3
2015-10-02,"Alabama",3
2015-10-09,"Alabama",3
2015-10-16,"Alabama",1
2015-10-23,"Alabama",0
2015-10-30,"Alabama",0
2015-11-06,"Alabama",0
2015-11-13,"Alabama",0
2015-11-20,"Alabama",0
2015-11-25,"Alabama",0
2015-12-04,"Alabama",0
2015-12-11,"Alabama",0
2015-12-18,"Alabama",0
2015-12-23,"Alabama",0
2015-12-31,"Alabama",0
2016-01-08,"Alabama",0
2016-01-15,"Alabama",1
2016-01-22,"Alabama",1
2016-01-29,"Alabama",1
2016-02-05,"Alabama",0
2016-02-12,"Alabama",0
2016-02-19,"Alabama",0
2016-02-26,"Alabama",0
2016-03-04,"Alabama",0
2016-03-11,"Alabama",0
2016-03-18,"Alabama",1
2016-03-24,"Alabama",1
2016-04-01,"Alabama",1
2016-04-08,"Alabama",2
2016-04-15,"Alabama",1
2016-04-22,"Alabama",1
2016-04-29,"Alabama",1
2016-05-06,"Alabama",1
2016-05-13,"Alabama",1
2016-05-20,"Alabama",0
2016-05-27,"Alabama",0
2016-06-03,"Alabama",1
2016-06-10,"Alabama",1
2016-06-17,"Alabama",1
2016-06-24,"Alabama",1
2016-07-01,"Alabama",1
2016-07-08,"Alabama",1
2016-07-15,"Alabama",1
2016-07-22,"Alabama",1
2016-07-29,"Alabama",1
2016-08-05,"Alabama",2
2016-08-12,"Alabama",3
2016-08-19,"Alabama",3
2016-08-26,"Alabama",2
2016-09-02,"Alabama",2
2016-09-09,"Alabama",2
2016-09-16,"Alabama",1
2016-09-23,"Alabama",1
2016-09-30,"Alabama",2
2016-10-07,"Alabama",1
2016-10-14,"Alabama",1
2016-10-21,"Alabama",0
2016-10-28,"Alabama",0
2016-11-04,"Alabama",0
2016-11-11,"Alabama",0
2016-11-18,"Alabama",1
2016-11-23,"Alabama",1
2016-12-02,"Alabama",1
2016-12-09,"Alabama",1
2016-12-16,"Alabama",2
2016-12-23,"Alabama",2
2016-12-30,"Alabama",1
2017-01-06,"Alabama",1
2017-01-13,"Alabama",0
2017-01-20,"Alabama",1
2017-01-27,"Alabama",2
2017-02-03,"Alabama",2
2017-02-10,"Alabama",2
2017-02-17,"Alabama",2
2017-02-24,"Alabama",2
2017-03-03,"Alabama",2
2017-03-10,"Alabama",2
2017-03-17,"Alabama",2
2017-03-24,"Alabama",2
2017-03-31,"Alabama",2
2017-04-07,"Alabama",2
2017-04-13,"Alabama",2
2017-04-21,"Alabama",2
2017-04-28,"Alabama",3
2017-05-05,"Alabama",3
2017-05-12,"Alabama",3
2017-05-19,"Alabama",4
